Company,Symbol,GICS Sector,GICS Sub-Industry,Headquarters Location,SEC filings,CIK
Mesa Laboratories Inc,MLAB,Health Care,Health Care Equipment,,view,724004
"MillerKnoll, Inc.",MLKN,Industrials,Office Services & Supplies,"Zeeland, Michigan",view,66382
"Mueller Industries, Inc.",MLI,Industrials,Industrial Machinery,,view,89439
"Marcus & Millichap, Inc.",MMI,Real Estate,Real Estate Services,"Calabasas, California",view,1578732
"Merit Medical Systems, Inc.",MMSI,Health Care,Health Care Supplies,,view,856982
"Monro, Inc.",MNRO,Consumer Discretionary,Automotive Retail,"Rochester, New York",view,876427
"Modivcare, Inc.",MODV,Health Care,Health Care Facilities,,view,1220754
Moog Inc.,MOG.A,Industrials,Aerospace & Defense,"Elma, New York",view,67887
"Movado Group, Inc.",MOV,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Paramus, New Jersey",view,72573
Marten Transport Ltd,MRTN,Industrials,Trucking,,view,799167
Middlesex Water Company,MSEX,Utilities,Water Utilities,"Iselin, New Jersey",view,66004
Meritage Homes Corporation,MTH,Consumer Discretionary,Homebuilding,"Scottsdale, Arizona",view,833079
Materion Corp.,MTRN,Materials,Diversified Metals & Mining,"Mayfield Heights, Ohio",view,1104657
Minerals Technologies,MTX,Materials,Specialty Chemicals,,view,891014
"MaxLinear, Inc.",MXL,Information Technology,Semiconductors,"Carlsbad, California",view,1288469
"Myers Industries, Inc.",MYE,Materials,Metal & Glass Containers,"Akron, Ohio",view,69488
"Myriad Genetics, Inc.",MYGN,Health Care,Biotechnology,"Salt Lake City, Utah",view,899923
"MYR Group, Inc.",MYRG,Industrials,Construction & Engineering,,view,700923
"N-able, Inc.",NABL,Information Technology,Systems Software,"Wilmington, Delaware",view,1834488
Navient,NAVI,Financials,Consumer Finance,"Wilmington, Delaware",view,1593538
National Bank Holdings Corporation,NBHC,Financials,Regional Banks,,view,1475841
"Nabors Industries, Ltd.",NBR,Energy,Oil & Gas Drilling,"Houston, Texas",view,1163739
"NBT Bancorp, Inc.",NBTB,Financials,Regional Banks,"Norwich, New York",view,790359
"NeoGenomics Laboratories, Inc.",NEO,Health Care,Health Care Services,"Fort Myers, Florida",view,1077183
"NexTier Oilfield Solutions, Inc.",NEX,Energy,Oil & Gas Equipment & Services,"Houston, Texas",view,1688476
"Northfield Bancorp, Inc. (Staten Island, NY)",NFBK,Financials,Thrifts & Mortgage Finance,,view,1493225
"Ingevity, Corp.",NGVT,Materials,Specialty Chemicals,"North Charleston, South Carolina",view,1653477
"NMI Holdings, Inc.",NMIH,Financials,Thrifts & Mortgage Finance,"Emeryville, California",view,1547903
"Northern Oil and Gas, Inc.",NOG,Energy,Oil & Gas Exploration & Production,"Minnetonka, Minnesota",view,1104485
"National Presto Industries, Inc.",NPK,Industrials,Aerospace & Defense,"Eau Claire, Wisconsin",view,80172
"EnPro Industries, Inc.",NPO,Industrials,Industrial Machinery,"Charlotte, North Carolina",view,1164863
"Insight Enterprises, Inc.",NSIT,Industrials,Technology Distributors,"Tempe, Arizona",view,932696
"NETSCOUT Systems, Inc.",NTCT,Information Technology,Communications Equipment,"Westford, Massachusetts",view,1078075
"Netgear, Inc.",NTGR,Information Technology,Communications Equipment,"San Jose, California",view,1122904
Nu Skin Enterprises,NUS,Consumer Staples,Personal Products,"Provo, Utah",view,1021561
"NuVasive, Inc.",NUVA,Health Care,Health Care Equipment,"San Diego, California",view,1142596
NV5 Global,NVEE,Industrials,Construction & Engineering,,view,1532961
"Northwest Bancshares, Inc.",NWBI,Financials,Thrifts & Mortgage Finance,"Warren, Pennsylvania",view,1471265
NW Natural,NWN,Utilities,Gas Utilities,"Portland, Oregon",view,1733998
Quanex Building Products Corporation,NX,Industrials,Building Products,,view,1423221
"NextGen Healthcare, Inc.",NXGN,Health Care,Health Care Technology,"Atlanta, Georgia",view,708818
"NexPoint Residential Trust, Inc.",NXRT,Real Estate,Residential REITs,,view,1620393
"New York Mortgage Trust, Inc.",NYMT,Real Estate,Mortgage REITs,,view,1273685
The ODP Corporation,ODP,Consumer Discretionary,Specialty Stores,"Boca Raton, Florida",view,800240
OFG Bancorp,OFG,Financials,Regional Banks,"San Juan, Puerto Rico",view,1030469
"Orthofix Medical, Inc.",OFIX,Health Care,Health Care Equipment,,view,884624
"O-I Glass, Inc.",OI,Materials,Metal & Glass Containers,"Perrysburg, Ohio",view,812074
"Oceaneering International, Inc.",OII,Energy,Oil & Gas Equipment & Services,"Houston, Texas",view,73756
"Oil States International, Inc.",OIS,Energy,Oil & Gas Equipment & Services,"Houston, Texas",view,1121484
"Owens & Minor, Inc.",OMI,Health Care,Health Care Distributors,"Mechanicsville, Virginia",view,75252
"Orion Office REIT, Inc.",ONL,Real Estate,Office REITs,"Phoenix, Arizona",view,1873923
"Onto Innovation, Inc.",ONTO,Information Technology,Semiconductor Equipment,"Wilmington, Massachusetts",view,704532
Office Properties Income Trust,OPI,Real Estate,Office REITs,"Newton, Massachusetts",view,1456772
"OSI Systems, Inc.",OSIS,Information Technology,Electronic Equipment & Instruments,"Hawthorne, California",view,1039065
"OneSpan, Inc.",OSPN,Information Technology,Systems Software,"Chicago, Illinois",view,1044777
"OraSure Technologies, Inc.",OSUR,Health Care,Health Care Supplies,"Bethlehem, Pennsylvania",view,1116463
Otter Tail Corporation,OTTR,Utilities,Electric Utilities,"Fergus Falls, Minnesota",view,1466593
Outfront Media,OUT,Real Estate,Specialized REITs,"New York City, New York",view,1579877
"Oxford Industries, Inc.",OXM,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Atlanta, Georgia",view,75288
PacWest Bancorp,PACW,Financials,Regional Banks,"Beverly Hills, California",view,1102112
Phibro Animal Health,PAHC,Health Care,Pharmaceuticals,"Teaneck, New Jersey",view,1069899
"Par Pacific Holdings, Inc.",PARR,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",view,821483
Payoneer Global Inc.,PAYO,Information Technology,Data Processing & Outsourced Services,"New York City, New York",view,1845815
"Patrick Industries, Inc.",PATK,Consumer Discretionary,Auto Parts & Equipment,,view,76605
Prestige Consumer Healthcare,PBH,Health Care,Pharmaceuticals,"Tarrytown, New York",view,1295947
"Pitney Bowes, Inc.",PBI,Industrials,Office Services & Supplies,"Stamford, Connecticut",view,78814
"Pacira BioSciences, Inc.",PCRX,Health Care,Pharmaceuticals,,view,1396814
"PDF Solutions, Inc.",PDFS,Information Technology,Semiconductor Equipment,"Santa Clara, California",view,1120914
Pebblebrook Hotel Trust,PEB,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",view,1474098
Phillips Edison & Company,PECO,Real Estate,Retail REITs,"Cincinnati, Ohio",view,1476204
Preferred Bank,PFBC,Financials,Regional Banks,"Los Angeles, California",view,1492165
"Provident Financial Services, Inc.",PFS,Financials,Thrifts & Mortgage Finance,"Jersey City, New Jersey",view,1178970
"PGT Innovations, Inc.",PGTI,Industrials,Building Products,,view,1354327
"PHINIA, Inc.",PHIN,Consumer Discretionary,Automotive Retail,"Auburn Hills, Michigan",view,1968915
Piper Sandler Companies,PIPR,Financials,Investment Banking & Brokerage,"Minneapolis, Minnesota",view,1230245
"Photronics, Inc.",PLAB,Information Technology,Semiconductor Equipment,"Brookfield, Connecticut",view,810136
"Dave & Buster's Entertainment, Inc.",PLAY,Consumer Discretionary,Restaurants,"Dallas, Texas",view,1525769
"Palomar Holdings, Inc.",PLMR,Financials,Property & Casualty Insurance,,view,1761312
"ePlus, Inc.",PLUS,Information Technology,Technology Distributors,"Herndon, Virginia",view,1022408
Plexus Corp.,PLXS,Information Technology,Electronic Manufacturing Services,,view,785786
PennyMac Mortgage Investment Trust,PMT,Real Estate,Mortgage REITs,,view,1464423
"Powell Industries, Inc.",POWL,Industrials,Electrical Components & Equipment,"Houston, Texas",view,80420
"Pacific Premier Bancorp, Inc.",PPBI,Financials,Regional Banks,"Irvine, California",view,1028918
ProAssurance Corporation,PRA,Financials,Property & Casualty Insurance,"Birmingham, Alabama",view,1127703
"PRA Group, Inc.",PRAA,Financials,Consumer Finance,"Norfolk, Virginia",view,1185348
Perdoceo Education Corp.,PRDO,Consumer Discretionary,Education Services,"Schaumburg, Illinois",view,1046568
"Perficient, Inc.",PRFT,Information Technology,IT Consulting & Other Services,"St. Louis, Missouri",view,1085869
"PROG Holdings, Inc.",PRG,Financials,Consumer Finance,,view,1808834
Progress Software Corporation,PRGS,Information Technology,Systems Software,"Burlington, Massachusetts",view,876167
Park National Corp.,PRK,Financials,Diversified Banks,"Newark, Ohio",view,805676
Protolabs,PRLB,Industrials,Industrial Machinery,"Maple Plain, Minnesota",view,1443669
"Privia Health Group, Inc.",PRVA,Health Care,Health Care Services,"Arlington County, Virginia",view,1759655
PriceSmart,PSMT,Consumer Staples,Hypermarkets & Super Centers,"San Diego, California",view,1041803
"Patterson-UTI Energy, Inc.",PTEN,Energy,Oil & Gas Drilling,"Houston, Texas",view,889900
ProPetro Holding Corp.,PUMP,Energy,Oil & Gas Equipment & Services,,view,1680247
"QuinStreet, Inc.",QNST,Communication Services,Interactive Media & Services,"Foster City, California",view,1117297
uniQure N.V.,QURE,Health Care,Biotechnology,,view,1590560
"LiveRamp Holdings, Inc.",RAMP,Information Technology,Application Software,"San Francisco, California",view,733269
Ready Capital Corp,RC,Financials,Mortgage REITs,,view,1527590
"Rent-A-Center, Inc.",RCII,Consumer Discretionary,Computer & Electronics Retail,"Plano, Texas",view,933036
"Arcus Biosciences, Inc.",RCUS,Health Care,Biotechnology,,view,1724521
"Radian Group, Inc.",RDN,Financials,Property & Casualty Insurance,"Philadelphia, Pennsylvania",view,890926
"RadNet, Inc.",RDNT,Health Care,Health Care Services,"Los Angeles, California",view,790526
"RPC, Inc.",RES,Energy,Oil & Gas Equipment & Services,,view,742278
REX American Resources Corporation,REX,Energy,Oil & Gas Refining & Marketing,"Dayton, Ohio",view,744187
"Resideo Technologies, Inc.",REZI,Industrials,Trading Companies & Distributors,,view,1740332
REGENXBIO Inc.,RGNX,Health Care,Biotechnology,,view,1590877
"Resources Connection, Inc.",RGP,Industrials,Research & Consulting Services,"Irvine, California",view,1084765
"Sturm, Ruger & Company, Inc.",RGR,Consumer Discretionary,Leisure Products,"Southport, Connecticut",view,95029
B. Riley Financial,RILY,Financials,Asset Management & Custody Banks,,view,1464790
"RE/MAX Holdings, Inc.",RMAX,Real Estate,Real Estate Services,"Denver, Colorado",view,1581091
"Rambus, Inc.",RMBS,Information Technology,Semiconductors,"San Jose, California",view,917273
Renasant Corp.,RNST,Financials,Regional Banks,"Tupelo, Mississippi",view,715072
"Gibraltar Industries, Inc.",ROCK,Industrials,Building Products,,view,912562
Rogers Corporation,ROG,Information Technology,Electronic Components,"Chandler, Arizona",view,84748
Retail Opportunity Investments Corp.,ROIC,Real Estate,Retail REITs,,view,1407623
Ramco-Gershenson Properties Trust,RPT,Real Estate,Retail REITs,"New York City, New York",view,842183
"Redwood Trust, Inc.",RWT,Real Estate,Mortgage REITs,,view,930236
"RXO, Inc.",RXO,Industrials,Trucking,"Charlotte, North Carolina",view,1929561
"Safehold, Inc.",SAFE,Real Estate,Specialized REITs,,view,1688852
Sabre,SABR,Information Technology,Data Processing & Outsourced Services,"Southlake, Texas",view,1597033
"Safety Insurance Group, Inc.",SAFT,Financials,Property & Casualty Insurance,,view,1172052
"Sonic Automotive, Inc.",SAH,Consumer Discretionary,Automotive Retail,"Charlotte, North Carolina",view,1043509
Sanmina Corporation,SANM,Information Technology,Electronic Manufacturing Services,"San Jose, California",view,897723
Seacoast Banking Corporation of Florida,SBCF,Financials,Regional Banks,,view,730708
"Sally Beauty Holdings, Inc.",SBH,Consumer Discretionary,Specialty Stores,"Denton, Texas",view,1368458
"Southside Bancshares, Inc.",SBSI,Financials,Regional Banks,,view,705432
Scholastic Corporation,SCHL,Consumer Discretionary,Publishing,"New York City, New York",view,866729
Stepan Company,SCL,Materials,Specialty Chemicals,,view,94049
"ScanSource, Inc.",SCSC,Information Technology,Technology Distributors,,view,918965
"Shoe Carnival, Inc.",SCVL,Consumer Discretionary,Apparel Retail,"Evansville, Indiana",view,895447
"Schrödinger, Inc.",SDGR,Health Care,Health Care Services,"New York City, New York",view,1490978
"Select Medical Holdings, Corp.",SEM,Health Care,Health Care Facilities,"Mechanicsburg, Pennsylvania",view,1320414
"ServisFirst Bancshares, Inc.",SFBS,Financials,Regional Banks,,view,1430723
Simmons First National Corporation,SFNC,Financials,Regional Banks,"Little Rock, Arkansas",view,90498
"SMART Global Holdings, Inc.",SGH,Information Technology,Semiconductors,,view,1616533
"Shake Shack, Inc.",SHAK,Consumer Discretionary,Restaurants,"New York City, New York",view,1620533
Shenandoah Telecommunications Co,SHEN,Communication Services,Wireless Telecommunication Services,"Edinburg, Virginia",view,354963
"Sunstone Hotel Investors, Inc.",SHO,Real Estate,Hotel & Resort REITs,,view,1295810
"Steven Madden, Ltd.",SHOO,Consumer Discretionary,Footwear,"Long Island City, New York",view,913241
Signet Jewelers,SIG,Consumer Discretionary,Specialty Stores,"Akron, Ohio",view,832988
SITE Centers Corp.,SITC,Real Estate,Retail REITs,"Beachwood, Ohio",view,894315
SiTime,SITM,Information Technology,Semiconductors,"Santa Clara, California",view,1451809
Six Flags,SIX,Consumer Discretionary,Leisure Facilities,"Arlington, Texas",view,701374
SJW Group,SJW,Utilities,Water Utilities,"San Jose, California",view,766829
"Tanger Factory Outlet Centers, Inc.",SKT,Real Estate,Retail REITs,"Greensboro, North Carolina",view,899715
"SkyWest, Inc.",SKYW,Industrials,Airlines,"St. George, Utah",view,793733
"U.S. Silica Holdings, Inc.",SLCA,Energy,Oil & Gas Equipment & Services,,view,1524741
SL Green Realty,SLG,Real Estate,Office REITs,"New York City, New York",view,1040971
"Simulations Plus, Inc.",SLP,Health Care,Health Care Technology,"Lancaster, California",view,1023459
Sylvamo Corp.,SLVM,Materials,Paper Products,,view,1856485
SM Energy Company,SM,Energy,Oil & Gas Exploration & Production,"Denver, Colorado",view,893538
"Standard Motor Products, Inc.",SMP,Consumer Discretionary,Auto Parts & Equipment,"Long Island City, New York",view,93389
Simply Good Foods Company,SMPL,Consumer Staples,Packaged Foods & Meats,,view,1702744
Semtech,SMTC,Information Technology,Semiconductors,"Camarillo, California",view,88941
Sleep Number Corporation,SNBR,Consumer Discretionary,Homefurnishing Retail,"Minneapolis, Minnesota",view,827187
Sun Country Airlines,SNCY,Industrials,Airlines,"Minneapolis, Minnesota",view,1743907
StoneX Group Inc.,SNEX,Financials,Investment Banking & Brokerage,,view,913760
"Sonos, Inc.",SONO,Consumer Discretionary,Consumer Electronics,"Santa Barbara, California",view,1314727
Third Point Reinsurance Ltd.,SPNT,Financials,Reinsurance,,view,1576018
"SPS Commerce, Inc.",SPSC,Information Technology,Application Software,"Minneapolis, Minnesota",view,1092699
SpartanNash Company,SPTN,Consumer Staples,Food Distributors,"Byron Center, Michigan",view,877422
SunPower,SPWR,Industrials,Electrical Components & Equipment,"Richmond, California",view,867773
SPX Corporation,SPXC,Industrials,Industrial Machinery,"Charlotte, North Carolina",view,88205
The E.W. Scripps Company,SSP,Consumer Discretionary,Broadcasting,"Cincinnati, Ohio",view,832428
"Shutterstock, Inc.",SSTK,Communication Services,Interactive Media & Services,"New York City, New York",view,1549346
"S&T Bancorp, Inc.",STBA,Financials,Regional Banks,,view,719220
Stewart Information Services Corporation,STC,Financials,Property & Casualty Insurance,"Houston, Texas",view,94344
"Stellar Bancorp, Inc.",STEL,Financials,Regional Banks,,view,1473844
"Strategic Education, Inc.",STRA,Consumer Discretionary,Education Services,"Herndon, Virginia",view,1013934
"Supernus Pharmaceuticals, Inc.",SUPN,Health Care,Pharmaceuticals,,view,1356576
Service Properties Trust,SVC,Real Estate,Specialized REITs,,view,945394
"Schweitzer-Mauduit International, Inc.",SWM,Materials,Paper Products,,view,1000623
"SunCoke Energy, Inc.",SXC,Materials,Steel,,view,1514705
Standex International Corporation,SXI,Industrials,Industrial Machinery,"Salem, New Hampshire",view,310354
"Talos Energy, Inc.",TALO,Energy,Oil & Gas Exploration & Production,"Houston, Texas",view,1724965
"The Bancorp, Inc.",TBBK,Financials,Regional Banks,,view,1295401
"TrueBlue, Inc.",TBI,Industrials,Human Resource & Employment Services,,view,768899
"Triumph Bancorp, Inc.",TBK,Financials,Regional Banks,,view,1539638
"Telephone and Data Systems, Inc.",TDS,Communication Services,Integrated Telecommunication Services,"Chicago, Illinois",view,1051512
"Triumph Group, Inc.",TGI,Industrials,Aerospace & Defense,"Berwyn, Pennsylvania",view,1021162
Gentherm Incorporated,THRM,Consumer Discretionary,Auto Parts & Equipment,"Farmington Hills, MI",view,903129
"Thryv Holdings, Inc.",THRY,Communication Services,Interactive Media & Services,"Dallas, Texas",view,1556739
"TreeHouse Foods, Inc.",THS,Consumer Staples,Packaged Foods & Meats,"Oak Brook, Illinois",view,1320695
"Interface, Inc.",TILE,Industrials,Office Services & Supplies,"Atlanta, Georgia",view,715787
Tompkins Financial Corporation,TMP,Financials,Regional Banks,"Ithaca, New York",view,1005817
TimkenSteel Corporation,TMST,Materials,Steel,,view,1598428
Tennant Company,TNC,Industrials,Industrial Machinery,,view,97134
Tandem Diabetes Care,TNDM,Health Care,Health Care Equipment,"San Diego, California",view,1438133
"Tri Pointe Homes, Inc.",TPH,Consumer Discretionary,Homebuilding,"Incline Village, Nevada",view,1561680
"Tootsie Roll Industries, Inc.",TR,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",view,98677
Trustmark Corp.,TRMK,Financials,Regional Banks,"Jackson, Mississippi",view,36146
"Trinity Industries, Inc.",TRN,Industrials,Construction Machinery & Heavy Trucks,"Dallas, Texas",reports,99780
TrustCo Bank Corp NY,TRST,Financials,Thrifts & Mortgage Finance,"Glenville, New York",view,357301
Trupanion,TRUP,Financials,Life & Health Insurance,"Seattle, Washington",view,1371285
Trinseo,TSE,Materials,Specialty Chemicals,"Wayne, Pennsylvania",view,1519061
"TTEC Holdings, Inc.",TTEC,Information Technology,Data Processing & Outsourced Services,,view,1013880
TechTarget,TTGT,Communication Services,Interactive Media & Services,"Newton, Massachusetts",view,1293282
"TTM Technologies, Inc.",TTMI,Information Technology,Electronic Manufacturing Services,,view,1116942
"Titan International, Inc.",TWI,Materials,Agricultural & Farm Machinery,"Quincy, Illinois",view,899751
Hostess Brands,TWNK,Consumer Staples,Packaged Foods & Meats,"Lenexa, Kansas",view,1644406
Two Harbors Investment Corp.,TWO,Financials,Mortgage REITs,,view,1465740
"Urstadt Biddle Properties, Inc.",UBA,Real Estate,Retail REITs,"Greenwich, Connecticut",view,1029800
"United Community Banks, Inc.",UCBI,Financials,Regional Banks,"Greenville, South Carolina",view,857855
"Ultra Clean Holdings, Inc.",UCTT,Information Technology,Semiconductor Equipment,,view,1275014
Urban Edge Properties,UE,Real Estate,Retail REITs,,view,1611547
"United Fire Group, Inc.",UFCS,Financials,Property & Casualty Insurance,,view,101199
"UFP Technologies, Inc.",UFPT,Health Care,Health Care Equipment,"Newburyport, Massachusetts",view,914156
Universal Health Realty Income Trust,UHT,Real Estate,Health Care REITs,,view,798783
UniFirst Corporation,UNF,Industrials,Diversified Support Services,"Wilmington, Massachusetts",view,717954
United Natural Foods Inc,UNFI,Consumer Staples,Food Retail,"Providence, Rhode Island",view,1020859
Uniti Group,UNIT,Real Estate,Specialized REITs,,view,1620280
"Urban Outfitters, Inc.",URBN,Consumer Discretionary,Apparel Retail,"Philadelphia, Pennsylvania",view,912615
"Usana Health Sciences, Inc.",USNA,Consumer Staples,Packaged Foods & Meats,"West Valley City, Utah",view,896264
"U.S. Physical Therapy, Inc.",USPH,Health Care,Health Care Facilities,,view,885978
Unitil Corporation,UTL,Utilities,Electric Utilities,"Hampton, New Hampshire",view,755001
"Universal Insurance Holdings, Inc.",UVE,Financials,Property & Casualty Insurance,,view,891166
Universal Corporation,UVV,Consumer Staples,Tobacco,"Richmond, Virginia",view,102037
"Veritex Holdings, Inc.",VBTX,Financials,Regional Banks,,view,1501570
Vericel,VCEL,Health Care,Biotechnology,"Cambridge, Massachusetts",view,887359
Veeco Instruments Inc.,VECO,Information Technology,Semiconductor Equipment,"Plainview, New York",view,103145
Vector Group,VGR,Consumer Staples,Tobacco,"Miami, Florida",view,59440
VIAVI Solutions,VIAV,Information Technology,Communications Equipment,"Chandler, Arizona",view,912093
"Vir Biotechnology, Inc.",VIR,Health Care,Biotechnology,,view,1706431
Vanda Pharmaceuticals Inc.,VNDA,Health Care,Pharmaceuticals,,view,1347178
"Veris Residential, Inc.",VRE,Real Estate,Office REITs,"Jersey City, New Jersey",view,924901
Varex Imaging Corporation,VREX,Health Care,Health Care Equipment,"Salt Lake City, Utah",view,1681622
Verra Mobility Corporation,VRRM,Information Technology,Data Processing & Outsourced Services,"Mesa, Arizona",view,1682745
"Virtus Investment Partners, Inc.",VRTS,Financials,Asset Management & Custody Banks,"Hartford, Connecticut",view,883237
Veritiv Corporation,VRTV,Industrials,Trading Companies & Distributors,"Atlanta, Georgia",view,1599489
"Viasat, Inc.",VSAT,Information Technology,Communications Equipment,"Carlsbad, California",view,797721
Victoria's Secret,VSCO,Consumer Discretionary,Apparel Retail,"Reynoldsburg, Ohio",view,1856437
Vista Outdoor Inc.,VSTO,Consumer Discretionary,Leisure Products,"Anoka, Minnesota",view,1616318
Bristow Group Inc.,VTOL,Energy,Oil & Gas Equipment & Services,"Aberdeen, Scotland",view,1525221
Viad Corp,VVI,Industrials,Diversified Support Services,"Scottsdale, Arizona",view,884219
Westamerica Bancorporation,WABC,Financials,Regional Banks,"San Rafael, California",view,311094
Washington Federal,WAFD,Financials,Thrifts & Mortgage Finance,"Seattle, Washington",view,936528
"Walker & Dunlop, Inc.",WD,Financials,Thrifts & Mortgage Finance,"Bethesda, Maryland",view,1497770
WD-40 Company,WDFC,Consumer Staples,Household Products,"San Diego, California",view,105132
"WisdomTree Investments, Inc.",WETF,Financials,Asset Management & Custody Banks,"New York City, New York",view,880631
"Winnebago Industries, Inc.",WGO,Consumer Discretionary,Automobile Manufacturers,"Eden Prairie, Minnesota",view,107687
Encore Wire Corporation,WIRE,Industrials,Electrical Components & Equipment,,view,850460
John Wiley & Sons,WLY,Communication Services,Publishing,"Hoboken, New Jersey",view,107140
Wabash National,WNC,Industrials,Construction Machinery & Heavy Trucks,"Lafayette, Indiana",view,879526
Washington Real Estate Investment,WRE,Real Estate,Diversified REITs,,view,104894
World Acceptance Corporation,WRLD,Financials,Consumer Finance,,view,108385
WSFS Financial Corporation,WSFS,Financials,Regional Banks,"Wilmington, Delaware",view,828944
Whitestone REIT,WSR,Real Estate,Retail REITs,,view,1175535
"Wolverine World Wide, Inc.",WWW,Consumer Discretionary,Footwear,"Rockford, Michigan",view,110471
"Xenia Hotels & Resorts, Inc.",XHR,Real Estate,Hotel & Resort REITs,"Orlando, Florida",view,1616000
Xencor Inc,XNCR,Health Care,Biotechnology,,view,1326732
"XPEL, Inc.",XPEL,Consumer Discretionary,Auto Parts & Equipment,,view,1767258
"Xperi, Inc.",XPER,Information Technology,Semiconductor Equipment,"San Jose, California",view,1788999
"Yelp, Inc.",YELP,Communication Services,Interactive Media & Services,"San Francisco, California",view,1345016
"Olympic Steel, Inc.",ZEUS,Materials,Steel,"Cleveland, Ohio",view,917470
"Zynex, Inc.",ZYXI,Health Care,Health Care Equipment,"Meridian, Colorado",view,846475
