Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,SEC filings
LAD,Lithia Motors,Consumer Discretionary,Automotive Retail,"Medford, Oregon",reports
LAMR,Lamar Advertising Company,Real Estate,Specialized REITs,"Baton Rouge, Louisiana",reports
LANC,Lancaster Colony Corp,Consumer Staples,Packaged Foods & Meats,,reports
LEA,Lear,Consumer Discretionary,Auto Parts & Equipment,"Southfield, Michigan",reports
LECO,Lincoln Electric,Industrials,Industrial Machinery,"Euclid, Ohio",reports
LEG,Leggett & Platt,Consumer Discretionary,Home Furnishings,"Carthage, Missouri",reports
LFUS,Littelfuse,Information Technology,Electronic Components,"Chicago, Illinois",reports
LII,Lennox International,Industrials,Building Products,"Richardson, Texas",reports
LITE,Lumentum Holdings,Information Technology,Communications Equipment,,reports
LIVN,LivaNova,Health Care,Health Care Equipment,"Houston, Texas",reports
LNTH,Lantheus Holdings,Health Care,Health Care Supplies,,reports
LNW,Light & Wonder,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",reports
LOPE,Grand Canyon Education,Consumer Discretionary,Education Services,"Phoenix, Arizona",reports
LPX,Louisiana-Pacific,Materials,Forest Products,"Nashville, Tennessee",reports
LSCC,Lattice Semiconductor,Information Technology,Semiconductors,"Hillsboro, Oregon",reports
LSI,Life Storage,Real Estate,Specialized REITs,"Williamsville, New York",reports
LSTR,Landstar System,Industrials,Trucking,"Jacksonville, Florida",reports
M,Macy's,Consumer Discretionary,Department Stores,"New York City, New York",reports
MAN,ManpowerGroup,Industrials,Human Resource & Employment Services,"Milwaukee, Wisconsin",reports
MANH,Manhattan Associates,Information Technology,Application Software,,reports
MASI,Masimo,Health Care,Health Care Equipment,"Irvine, California",reports
MAT,Mattel,Consumer Discretionary,Leisure Products,"El Segundo, California",reports
MDU,MDU Resources,Industrials,Construction & Engineering,"Bismarck, North Dakota",reports
MEDP,Medpace,Health Care,Biotechnology,"Cincinnati, Ohio",reports
MIDD,Middleby,Industrials,Industrial Machinery,"Elgin, Illinois",reports
MKSI,MKS Instruments,Information Technology,Semiconductor Equipment,"Andover, Massachusetts",reports
MMS,Maximus Inc.,Information Technology,Data Processing & Outsourced Services,"Tysons, Virginia",reports
MODG,Topgolf Callaway Brands,Consumer Discretionary,Leisure Products,"Carlsbad, California",reports
MP,MP Materials,Materials,Diversified Metals & Mining,"Las Vegas, Nevada",reports
MPW,Medical Properties Trust,Real Estate,Health Care REITs,"Birmingham, Alabama",reports
MRCY,Mercury Systems,Industrials,Electrical Components & Equipment,"Andover, Massachusetts",reports
MSA,MSA Safety,Industrials,Office Services & Supplies,"Cranberry Township, Pennsylvania",reports
MSM,MSC Industrial Direct,Industrials,Trading Companies & Distributors,"Melville, New York Davidson, North Carolina",reports
MTDR,Matador Resources,Energy,Oil & Gas Exploration & Production,,reports
MTG,MGIC Investment Corporation,Financials,Reinsurance,"Milwaukee, Wisconsin",reports
MTSI,MACOM Technology Solutions,Information Technology,Semiconductors,"Lowell, Massachusetts",reports
MTZ,MasTec,Industrials,Construction & Engineering,"Coral Gables, Florida",reports
MUR,Murphy Oil,Energy,Oil & Gas Exploration & Production,"Houston, Texas",reports
MUSA,Murphy USA,Consumer Discretionary,Automotive Retail,"El Dorado, Arkansas",reports
NARI,Inari Medical,Health Care,Health Care Equipment,,reports
NATI,National Instruments,Information Technology,Electronic Equipment & Instruments,"Austin, Texas",reports
NBIX,Neurocrine Biosciences,Health Care,Biotechnology,"San Diego, California",reports
NCR,NCR,Information Technology,IT Consulting & Other Services,"Atlanta, Georgia",reports
NEOG,Neogen,Health Care,Health Care Supplies,"Lansing, Michigan",reports
NEU,NewMarket Corporation,Materials,Specialty Chemicals,"Richmond, Virginia",reports
NFG,National Fuel Gas,Utilities,Gas Utilities,"Williamsville, New York",reports
NJR,New Jersey Resources,Utilities,Gas Utilities,"Wall Township, New Jersey",reports
NLY,Annaly Capital Management,Financials,Mortgage REITs,"New York City, New York",reports
NNN,National Retail Properties,Real Estate,Retail REITs,"Orlando, Florida",reports
NOV,Nov,Energy,Oil & Gas Equipment & Services,"Houston, Texas",reports
NOVT,Novanta,Information Technology,Electronic Equipment & Instruments,,reports
NSA,National Storage Affiliates Trust,Real Estate,Specialized REITs,,reports
NSP,Insperity,Industrials,Human Resource & Employment Services,"Houston, Texas",reports
NVST,Envista Holdings,Health Care,Health Care Supplies,,reports
NVT,nVent Electric plc,Industrials,Electrical Components & Equipment,,reports
NWE,NorthWestern Corporation,Utilities,Multi-Utilities,"Sioux Falls, South Dakota",reports
NXST,Nexstar Media Group,Communication Services,Movies & Entertainment,"Irving, Texas",reports
NYCB,New York Community Bank,Financials,Thrifts & Mortgage Finance,"Hicksville, New York",reports
NYT,New York Times Company,Communication Services,Publishing,"New York City, New York",reports
OC,Owens Corning,Industrials,Building Products,"Toledo, Ohio",reports
OFC,Corporate Office Properties Trust,Real Estate,Office REITs,"Columbia, Maryland",reports
OGE,OGE Energy,Utilities,Multi-Utilities,"Oklahoma City, Oklahoma",reports
OGS,ONE Gas,Utilities,Gas Utilities,"Tulsa, Oklahoma",reports
OHI,Omega Healthcare Investors,Real Estate,Specialized REITs,,reports
